Buyers,Seller 1,Seller 2,Seller 3,Seller 4,AveragePrice, AverageDistance, RaijJainFairness
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist] [$=7752 x=753 d=dist],-1785.4251995503093,avgDist,0.0009378182003794251
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9999036026947484
Buyer 2,, [$=1792 x=359 d=dist],,,1792.0,avgDist,0.9999036026947484
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.997395047801689
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1586.2845326716294,avgDist,0.997395047801689
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9864332587374144
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,1388.2735090802578,avgDist,0.9864332587374144
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.7790212576630002
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist],,,535.8830984507745,avgDist,0.7790212576630002
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9996811141048207
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,1821.0596532769557,avgDist,0.9996811141048207
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9647760549540342
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,1193.377196875,avgDist,0.9647760549540342
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9361940030801746
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,1029.6237670636074,avgDist,0.9361940030801746
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9923754667904149
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],1473.9362184210527,avgDist,0.9923754667904149
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9797270339277897
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],1315.1982413136602,avgDist,0.9797270339277897
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.9262865821180368
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],983.904424078317,avgDist,0.9262865821180368
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.46784706639389756
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist],-56.55612019914637,avgDist,0.46784706639389756
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,1757.151990349819,avgDist,0.011591319392704058
Buyer 2,, [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist] [$=7752 x=753 d=dist],-1413.7655731535206,avgDist,0.011591319392704058
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.7646942327053355
Buyer 2,, [$=5355 x=850 d=dist],,,5355.0,avgDist,0.7646942327053355
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.8246228705649566
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,4159.002017804155,avgDist,0.8246228705649566
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.8615055170282484
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist],,,3586.736565164434,avgDist,0.8615055170282484
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.8027759496926503
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,4548.317766699901,avgDist,0.8027759496926503
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9021699306061907
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,3039.7488173178463,avgDist,0.9021699306061907
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9285323273402737
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,2711.4507101167314,avgDist,0.9285323273402737
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9031235047567241
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],3027.630627724499,avgDist,0.9031235047567241
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9301541801958684
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],2691.5384777517565,avgDist,0.9301541801958684
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9729244121009399
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],2147.871341737956,avgDist,0.9729244121009399
